项目名称,住宅总套数,项目地址,开发单位,项目类型,设计单位,总建筑面积,施工单位,住宅建筑面积,监理单位
康家村城中村S-07地块项目,485,共康路618弄,上海华行房地产开发有限公司,征收安置住房,上海建筑设计研究院,68295.3,上海民华工程建筑有限公司,44800,上海浩安建设工程监理有限公司
浦东新区新场镇16号线核心单元（PDS2-0101）02-01地块征收安置房项目,544,东至聚福桥路、南至02-02地块、西至庆元桥路、北至坤珍路。,浦开集团-东旭置业,保障房,上海市浦东新区规划建筑设计有限公司,62282,上海城建市政工程（集团）有限公司,47762,上海浦东新区建设监理有限公司
浦东新区周浦镇西社区PDPO-001单元03-10地块征收安置房项目,296,浦东新区周浦镇西社区PDPO-001单元03-10地块征收安置房项目,上海住保航程  置业有限公司,保障房,上海中星志成建筑设计有限公司,37133,中国二十冶集团有限公司,28819,上海住远建设工程监理有限公司
浦东新区周浦镇西社区PDPO-001单元03-01地块征收安置房项目,1062,东至卓晓路、南至03A-04地块、西至03A-06地块、北至03A-06地块、03A-07地块,上海住保航程  置业有限公司,保障房,上海中星志成建筑设计有限公司,112867,上海建工七建集团有限公司,87208,上海住远建设工程监理有限公司
三林镇0901-12-01号地块项目,1392,东至东明路，南至新中心河，西至金谊河，北至翠轩路,上海东岸建工置业发展有限公司,保障房,同济大学建筑设计研究院（集团）有限公司,162091,上海建工二建集团有限公司,108318,上海市工程建设资询监理有限公司
浦东新区“十二五”保障房三林基地03-03地块项目,617,东至03-07地块，南至03-06地块，西至03-06地块北至金溪路,光明房地产集团上海汇晟置业有限公司,保障房,上海城乡建筑设计院有限公司,63960,上海浦安建设发展有限公司,47783,上海百通项目管理咨询有限公司
川沙新市镇城东社区D06A-02地块征收安置房项目,522,东至理川路，南至D06A-06地块，西至D06A-06地块，北至D06A-05地块,上海庆发房地产开发有限公司,保障房,上海浦东建筑设计研究院有限公司,57182,上海市浦东新区建设（集团）有限公司,39752,上海恒基建设工程项目管理有限公司
航头镇PDS1-0205 单元14-01地块征收安置房项目,612,东至14-02地块，南至14-02地块，西至圣中河路，北至飞云桥路,上海中建申拓城市投资发展有限公司,保障房,中国建筑上海设计研究院有限公司,63077,中国建筑第八工程局有限公司,44344,上海大通工程监理有限公司
虹桥社区03单元29b-04地块,319,东至29b-01，西至虹镇路，南至蒲汇塘，北至蓝蒲路,上海闵房（集团）有限公司,征收（动迁）安置房,上海天华建筑设计有限公司,47703,上海建工五建集团有限公司,31748,上海高科工程咨询监理有限公司
浦东新区大团镇中部社区PDS5-00101单元15-05地块项目,864,东至:15-06地块、南至:永晨路、西至:钦飞路、北至:15-04地块,农工商房地产集团汇慈（上海）置业有限公司,保障房,上海城乡建筑设计院有限公司,92984,江苏天目建设集团有限公司,63911,上海青帝建设工程监理咨询有限公司
